id,prodName,prodCatid,prodCat,prodPcatid,prodPcat,lowPrice,highPrice,avgPrice,place,specInfo,unitInfo,pubDate,status,userIdCreate,userIdModified,userCreate,userModified,gmtCreate,gmtModified
1300898,李子,1187,水果,,桃李杏类,2.0,8.0,5.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300897,白杏,1187,水果,,桃李杏类,10.0,12.0,11.0,新疆,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300896,杏梅,1187,水果,,桃李杏类,2.5,5.0,3.75,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300895,胭脂红,1187,水果,,桃李杏类,4.0,6.0,5.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300894,串红,1187,水果,,桃李杏类,2.0,3.5,2.75,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300893,凯特白杏,1187,水果,,桃李杏类,1.5,3.0,2.25,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300892,无籽小号-大号,1187,水果,,西瓜类,1.3,1.4,1.35,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300891,麒麟,1187,水果,,西瓜类,1.6,2.6,2.1,,甜蜜蜜,斤,2022-07-03 00:00:00,,138,,admin,,,
1300890,8424,1187,水果,,西瓜类,1.1,1.5,1.3,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300889,甜王,1187,水果,,西瓜类,0.9,1.2,1.05,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300888,特小凤,1187,水果,,西瓜类,2.0,2.2,2.1,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300887,L600吊秧瓜,1187,水果,,西瓜类,1.6,2.5,2.05,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300886,沙漠一号,1187,水果,,西瓜类,1.0,1.4,1.2,,金城,斤,2022-07-03 00:00:00,,138,,admin,,,
1300885,蜜童,1187,水果,,西瓜类,1.4,1.7,1.55,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300884,墨童,1187,水果,,西瓜类,1.3,1.6,1.45,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300883,国产香蕉,1187,水果,,香蕉类,2.3,3.0,2.65,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300882,南美、菲律宾香蕉,1187,水果,,香蕉类,2.7,3.5,3.1,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300881,泰国香蕉,1187,水果,,香蕉类,8.6,6.7,7.65,,帝王蕉,斤,2022-07-03 00:00:00,,138,,admin,,,
1300880,晓蜜25号,1187,水果,,甜瓜类,1.6,2.0,1.8,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300879,玉菇,1187,水果,,甜瓜类,2.0,2.4,2.2,,奶香蜜,斤,2022-07-03 00:00:00,,138,,admin,,,
1300878,网纹,1187,水果,,甜瓜类,3.0,3.4,3.2,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300877,久红瑞,1187,水果,,甜瓜类,1.4,1.6,1.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300876,羊角蜜,1187,水果,,甜瓜类,1.2,2.8,2.0,,六一,斤,2022-07-03 00:00:00,,138,,admin,,,
1300875,西州蜜,1187,水果,,甜瓜类,1.5,1.7,1.6,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300874,白糖罐,1187,水果,,甜瓜类,1.6,2.6,2.1,,24号,斤,2022-07-03 00:00:00,,138,,admin,,,
1300873,花蕾甜瓜,1187,水果,,甜瓜类,2.0,3.0,2.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300872,绿宝甜瓜,1187,水果,,甜瓜类,1.5,3.0,2.25,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300871,东北甜瓜,1187,水果,,甜瓜类,2.0,3.0,2.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300870,博阳,1187,水果,,甜瓜类,1.3,3.0,2.15,,系列,斤,2022-07-03 00:00:00,,138,,admin,,,
1300869,富士,1187,水果,,苹果类,2.6,3.8,3.2,,纸袋Φ70-84,斤,2022-07-03 00:00:00,,138,,admin,,,
1300868,富士,1187,水果,,苹果类,4.5,6.0,5.25,,纸袋Φ85以上,斤,2022-07-03 00:00:00,,138,,admin,,,
1300867,富士,1187,水果,,苹果类,2.4,4.0,3.2,,纸袋+膜袋,斤,2022-07-03 00:00:00,,138,,admin,,,
1300866,黄元帅,1187,水果,,苹果类,3.8,4.5,4.15,,,斤,2022-07-03 00:00:00,,138,,admin,,,
